stage,p50_ms,p95_ms,p99_ms,mean_ms,planning_target_ms,synthetic_timing_under_target,target_demonstrated
validation,0.0078029988799244165,0.009100011084228754,0.011002004612237215,0.00804196111857891,100.0,True,False
bm25,0.00354400253854692,0.003841996658593416,0.004049012204632163,0.00357320299372077,300.0,True,False
dense_retrieval,0.02056499943137169,0.020817009499296546,0.021952000679448247,0.020629519131034613,500.0,True,False
fusion_metadata,0.0013590033631771803,0.0018550199456512928,0.0023400061763823032,0.0014435604680329561,100.0,True,False
reranking,0.0011069932952523232,0.0012789969332516193,0.0015560071915388107,0.0011215242557227612,4000.0,True,False
llm_verification,0.0034040131140500307,0.00391600769944489,0.003991997800767422,0.0034818786662071943,10000.0,True,False
total,0.03907899372279644,0.04392399569042027,0.045092019718140364,0.03960764151997864,15000.0,True,False
